"disease_id","disease_name","omim_id","mgi_accession_id"
"DOID:0112248","17-beta hydroxysteroid dehydrogenase 3 deficiency","OMIM:264300","MGI:107177"
"DOID:0111453","2-aminoadipic 2-oxoadipic aciduria","OMIM:204750","MGI:2445096"
"DOID:0110004","3-methylglutaconic aciduria type 3","OMIM:258501","MGI:2686271"
"DOID:0110001","3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome","OMIM:614739","MGI:2447813"
"DOID:14221","abdominal obesity-metabolic syndrome 1","OMIM:605552","MGI:3622477"
"DOID:0050711","aceruloplasminemia","OMIM:604290","MGI:88476"
"DOID:9164","achalasia","OMIM:200400","MGI:96794"
"DOID:0050603","acheiropody","OMIM:200500","MGI:1861746"
"DOID:0080054","achondrogenesis type IA","OMIM:200600","MGI:1924393"
"DOID:0080056","achondrogenesis type II","OMIM:200610","MGI:88452"
"DOID:4480","achondroplasia","OMIM:100800","MGI:2150019"
"DOID:0110007","achromatopsia 2","OMIM:216900","MGI:1341818"
"DOID:0110008","achromatopsia 3","OMIM:262300","MGI:1353562"
"DOID:0110010","achromatopsia 4","OMIM:613856","MGI:95779"
"DOID:0110009","achromatopsia 7","OMIM:616517","MGI:1926157"
"DOID:9250","acrocallosal syndrome","OMIM:200990","MGI:1098239"
"DOID:12960","acrocephalosyndactylia","OMIM:101200","MGI:95523"
"DOID:0050605","acrodermatitis enteropathica","OMIM:201100","MGI:1919277"
"DOID:14669","acrodysostosis","OMIM:101800|OMIM:614613","MGI:104878"
"DOID:0080052","acromesomelic dysplasia, Grebe type","OMIM:200700","MGI:95688"
"DOID:0080051","acromesomelic dysplasia, Hunter-Thompson type","OMIM:201250","MGI:95688"
"DOID:0080050","acromesomelic dysplasia, Maroteaux type","OMIM:602875","MGI:97372"
"DOID:7004","ACTH-secreting pituitary adenoma","OMIM:219090","MGI:5805517"
"DOID:3890","acute intermittent porphyria","OMIM:176000","MGI:96112"
"DOID:12603","acute leukemia","OMIM:308960","MGI:3822839"
"DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:96995"
"DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:99480"
"DOID:0060318","acute promyelocytic leukemia","OMIM:612376","MGI:5306984"
"DOID:0060227","Adams-Oliver syndrome","OMIM:100300|OMIM:614219|OMIM:615297|OMIM:616028","MGI:1859388"
"DOID:0060350","adenine phosphoribosyltransferase deficiency","OMIM:614723","MGI:88061"
"DOID:5810","adenosine deaminase deficiency","OMIM:102700","MGI:87916"
"DOID:0080150","adrenocorticotropic hormone deficiency","OMIM:201400","MGI:1891158"
"DOID:10588","adrenoleukodystrophy","OMIM:300100","MGI:1349215"
"DOID:0110913","adult hypophosphatasia","OMIM:146300","MGI:87983"
"DOID:0080093","adult-onset myofibrillar myopathy 2A","OMIM:608810","MGI:88516"
